"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Philadelphia","2021-01-11T00:00:00.000","9750","9750"
"Virginia","2021-01-11T00:00:00.000","50700","50700"
"West Virginia","2021-01-11T00:00:00.000","11700","11700"
"Alabama","2021-01-11T00:00:00.000","29250","29250"
"Florida","2021-01-11T00:00:00.000","127725","127725"
"Georgia","2021-01-11T00:00:00.000","60450","60450"
"Kentucky","2021-01-11T00:00:00.000","27300","27300"
"Mississippi","2021-01-11T00:00:00.000","17550","17550"
"North Carolina","2021-01-11T00:00:00.000","61425","61425"
"South Carolina","2021-01-11T00:00:00.000","30225","30225"
"Tennessee","2021-01-11T00:00:00.000","39975","39975"
"Chicago","2021-01-11T00:00:00.000","16575","16575"
"Illinois","2021-01-11T00:00:00.000","60450","60450"
"Indiana","2021-01-11T00:00:00.000","39975","39975"
"Michigan","2021-01-11T00:00:00.000","60450","60450"
"Minnesota***","2021-01-11T00:00:00.000","33150","33150"
"Ohio","2021-01-11T00:00:00.000","70200","70200"
"Wisconsin***","2021-01-11T00:00:00.000","35100","35100"
"Arkansas","2021-01-11T00:00:00.000","18525","18525"
"Louisiana","2021-01-11T00:00:00.000","28275","28275"
"New Mexico***","2021-01-11T00:00:00.000","12675","12675"
"Oklahoma","2021-01-11T00:00:00.000","23400","23400"
"Texas","2021-01-11T00:00:00.000","159900","159900"
"Iowa","2021-01-11T00:00:00.000","19500","19500"
